,lin_diff_num,genera,turns,child_num,child_correct_AB_num,child_false_AB_num,all_recom_correct_rate,child_correct_AA_num,child_false_AA_num,all_yin_correct_rate,child_zhenyin_d,child_jiayang_b,child_jiayin_c,child_zhenyang_a,x_FPR,x_FDR_wufaxianlv,y_TPR,usetime
s5smpl6gene4turns1RT0.1,39.0,4.0,1.0,44.0,9.0,13.0,0.4091,22.0,0.0,1.0,22.0,0.0,9.0,13.0,0.0,0.0,0.5909,38161.0
s5smpl6gene4turns2RT0.1,41.0,4.0,2.0,18.0,1.0,8.0,0.1111,9.0,0.0,1.0,9.0,0.0,7.0,2.0,0.0,0.0,0.2222,12237.0
s5smpl6gene4turns3RT0.1,40.0,4.0,3.0,40.0,15.0,5.0,0.75,20.0,0.0,1.0,20.0,0.0,5.0,15.0,0.0,0.0,0.75,35307.0
s5smpl6gene4turns4RT0.1,39.0,4.0,4.0,30.0,7.0,8.0,0.4667,15.0,0.0,1.0,15.0,0.0,8.0,7.0,0.0,0.0,0.4667,25578.0
s5smpl6gene4turns5RT0.1,38.0,4.0,5.0,34.0,11.0,6.0,0.6471,17.0,0.0,1.0,17.0,0.0,6.0,11.0,0.0,0.0,0.6471,29642.0
s5smpl6gene4turns6RT0.1,40.0,4.0,6.0,28.0,9.0,5.0,0.6429,14.0,0.0,1.0,14.0,0.0,5.0,9.0,0.0,0.0,0.6429,24376.0
s5smpl6gene4turns7RT0.1,42.0,4.0,7.0,36.0,13.0,5.0,0.7222,18.0,0.0,1.0,18.0,0.0,5.0,13.0,0.0,0.0,0.7222,27276.0
s5smpl6gene4turns8RT0.1,39.0,4.0,8.0,30.0,7.0,8.0,0.4667,15.0,0.0,1.0,15.0,0.0,8.0,7.0,0.0,0.0,0.4667,22388.0
s5smpl6gene4turns9RT0.1,38.0,4.0,9.0,42.0,16.0,5.0,0.7619,21.0,0.0,1.0,21.0,0.0,5.0,16.0,0.0,0.0,0.7619,34697.0
s5smpl6gene4turns10RT0.1,28.0,4.0,10.0,60.0,21.0,9.0,0.7,30.0,0.0,1.0,30.0,0.0,9.0,21.0,0.0,0.0,0.7,55425.0
