,lin_diff_num,genera,turns,child_num,child_correct_AB_num,child_false_AB_num,all_recom_correct_rate,child_correct_AA_num,child_false_AA_num,all_yin_correct_rate,child_zhenyin_d,child_jiayang_b,child_jiayin_c,child_zhenyang_a,x_FPR,x_FDR_wufaxianlv,y_TPR,usetime
s5smpl6gene6turns1RT0.1,35.0,6.0,1.0,156.0,38.0,40.0,0.4872,78.0,0.0,1.0,78.0,0.0,32.0,46.0,0.0,0.0,0.5897,132848.0
s5smpl6gene6turns2RT0.1,40.0,6.0,2.0,166.0,54.0,29.0,0.6506,83.0,0.0,1.0,83.0,0.0,28.0,55.0,0.0,0.0,0.6627,124145.0
s5smpl6gene6turns3RT0.1,42.0,6.0,3.0,146.0,56.0,17.0,0.7671,73.0,0.0,1.0,73.0,0.0,17.0,56.0,0.0,0.0,0.7671,110880.0
s5smpl6gene6turns4RT0.1,39.0,6.0,4.0,172.0,53.0,33.0,0.6163,86.0,0.0,1.0,86.0,0.0,33.0,53.0,0.0,0.0,0.6163,139533.0
s5smpl6gene6turns5RT0.1,43.0,6.0,5.0,154.0,50.0,27.0,0.6494,77.0,0.0,1.0,77.0,0.0,27.0,50.0,0.0,0.0,0.6494,110761.0
s5smpl6gene6turns6RT0.1,42.0,6.0,6.0,130.0,49.0,16.0,0.7538,65.0,0.0,1.0,65.0,0.0,14.0,51.0,0.0,0.0,0.7846,112639.0
s5smpl6gene6turns7RT0.1,43.0,6.0,7.0,122.0,53.0,8.0,0.8689,61.0,0.0,1.0,61.0,0.0,7.0,54.0,0.0,0.0,0.8852,94394.0
s5smpl6gene6turns8RT0.1,43.0,6.0,8.0,142.0,47.0,24.0,0.662,71.0,0.0,1.0,71.0,0.0,24.0,47.0,0.0,0.0,0.662,104739.0
s5smpl6gene6turns9RT0.1,42.0,6.0,9.0,138.0,41.0,28.0,0.5942,69.0,0.0,1.0,69.0,0.0,28.0,41.0,0.0,0.0,0.5942,101313.0
s5smpl6gene6turns10RT0.1,41.0,6.0,10.0,132.0,50.0,16.0,0.7576,66.0,0.0,1.0,66.0,0.0,16.0,50.0,0.0,0.0,0.7576,102949.0
