,lin_diff_num,genera,turns,child_num,child_correct_AB_num,child_false_AB_num,all_recom_correct_rate,child_correct_AA_num,child_false_AA_num,all_yin_correct_rate,child_zhenyin_d,child_jiayang_b,child_jiayin_c,child_zhenyang_a,x_FPR,x_FDR_wufaxianlv,y_TPR,usetime
s5smpl6gene6turns1RT0.1,40.0,6.0,1.0,12.0,2.0,2.0,0.5,8.0,0.0,1.0,8.0,0.0,2.0,2.0,0.0,0.0,0.5,8810.0
s5smpl6gene6turns2RT0.1,43.0,6.0,2.0,9.0,2.0,2.0,0.5,5.0,0.0,1.0,5.0,0.0,2.0,2.0,0.0,0.0,0.5,5880.0
s5smpl6gene6turns3RT0.1,37.0,6.0,3.0,21.0,5.0,3.0,0.625,13.0,0.0,1.0,13.0,0.0,3.0,5.0,0.0,0.0,0.625,16504.0
s5smpl6gene6turns4RT0.1,41.0,6.0,4.0,14.0,5.0,1.0,0.8333,8.0,0.0,1.0,8.0,0.0,1.0,5.0,0.0,0.0,0.8333,13011.0
s5smpl6gene6turns5RT0.1,30.0,6.0,5.0,16.0,4.0,3.0,0.5714,9.0,0.0,1.0,9.0,0.0,2.0,5.0,0.0,0.0,0.7143,16369.0
s5smpl6gene6turns6RT0.1,43.0,6.0,6.0,15.0,6.0,0.0,1.0,9.0,0.0,1.0,9.0,0.0,0.0,6.0,0.0,0.0,1.0,11153.0
s5smpl6gene6turns7RT0.1,42.0,6.0,7.0,14.0,2.0,2.0,0.5,10.0,0.0,1.0,10.0,0.0,1.0,3.0,0.0,0.0,0.75,9628.0
s5smpl6gene6turns8RT0.1,42.0,6.0,8.0,12.0,4.0,0.0,1.0,8.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,0.0,1.0,9015.0
s5smpl6gene6turns9RT0.1,36.0,6.0,9.0,8.0,3.0,2.0,0.6,3.0,0.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.6,7450.0
s5smpl6gene6turns10RT0.1,42.0,6.0,10.0,11.0,3.0,2.0,0.6,6.0,0.0,1.0,6.0,0.0,2.0,3.0,0.0,0.0,0.6,7573.0
